city,zone,ward,ward_no,total_bill_2013,comm_bill_2013,resident_bill_2013,total_bill_2014,comm_bill_2014,resident_bill_2014,total_bill_2015,comm_bill_2015,resident_bill_2015,area,pop2011
Bengaluru City,SOUTH,Padarayanapura,134,40.98,6.83,34.15,51.67,9.44,42.23,70.43,14.82,55.61,1.1,35113
Bengaluru City,WEST,Jagareevanram Nagar,135,113.37,39.28,74.1,144.96,54.93,90.03,216.78,87.66,129.12,0.7,49484
Bengaluru City,WEST,Rayapuram,136,85.15,19.79,65.36,96.26,21.41,74.85,124.37,23.42,100.95,0.3,37599
Bengaluru City,WEST,Chalavadipalya,137,70.27,12.96,57.31,75.94,11.15,64.79,88.64,9.72,78.92,0.6,38639
Bengaluru City,WEST,K.R. Market,138,67.47,39.58,27.9,85.69,49.72,35.96,115.75,62.46,53.29,0.4,36039
Bengaluru City,WEST,Chamrajpet,139,536.59,399.06,137.53,660.41,502.24,158.17,918.92,712.76,206.17,0.4,24801
Bengaluru City,WEST,Azadnagar,140,139.98,37.58,102.4,174.32,47.53,126.79,226.97,58.37,168.6,0.8,29344
Bengaluru City,WEST,Sunkenahalli,141,107.01,16.59,90.42,138.4,24.24,114.16,199.19,35.52,163.66,1,32213
Bengaluru City,SOUTH,Vishweshrapuram,142,353.67,153.1,200.57,465.85,207.77,258.08,634.7,294.72,339.98,0.7,38825
Bengaluru City,SOUTH,Siddapura,143,106.8,24.01,82.78,139.96,29.58,110.38,185.47,39.75,145.72,1.5,34666
Bengaluru City,SOUTH,Hombegowdanagar,144,397.6,152.7,244.89,498.32,190.63,307.68,681.3,269.97,411.33,2.5,32462
Bengaluru City,SOUTH,Lakkasandra,145,224.12,97.15,126.97,276.29,115.77,160.52,378.05,157.35,220.7,0.7,34879
Bengaluru City,SOUTH,Adugodi,146,208.86,74.26,134.6,241.95,91.34,150.61,316.5,128.43,188.07,1.4,38309
Bengaluru City,SOUTH,Ejipura,147,289.61,123.6,166.01,362.27,145.73,216.54,483.38,196.69,286.69,1.3,30667
Bengaluru City,SOUTH,Varthur,148,35.79,0.11,35.68,212,20.85,191.15,381.29,78.22,303.06,1.6,34299
Bengaluru City,MAHADEVPURA,Bellandur,149,165.02,156.76,8.26,313.61,266.41,47.21,540,423.65,116.35,1.9,47004
Bengaluru City,MAHADEVPURA,Koramangala,150,848.18,484.18,364,1156.71,685.6,471.1,1500.4,885.03,615.38,28.3,54625
Bengaluru City,SOUTH,Sudduguntepalya,151,307.65,94.33,213.32,408.67,124.88,283.79,570.36,188.31,382.06,26.4,80180
Bengaluru City,SOUTH,Jayanagar,152,19.23,4.08,15.15,23.06,5.77,17.29,29.33,8.28,21.05,3.7,38316
Bengaluru City,SOUTH,Jayangar,153,758.09,507.22,250.88,946.03,661.6,284.44,1233.81,885.54,348.27,1.7,39997
Bengaluru City,SOUTH,Basavanagudi,154,387.07,137.42,249.65,495.45,172.31,323.14,647.74,235.67,412.07,2.5,38151
Bengaluru City,SOUTH,Hanumanthanagar,155,181.21,20.5,160.71,226,29.02,196.98,310.35,49.27,261.08,1.2,32640
Bengaluru City,SOUTH,Srinagar,156,284.65,31.39,253.26,341.43,45.49,295.95,471.42,72.48,398.95,1,36982
Bengaluru City,SOUTH,Gali Anjaneya swamy Temple Ward,157,221.05,50.32,170.73,278.95,62.84,216.12,387.6,98.51,289.08,0.8,41379
Bengaluru City,SOUTH,Deepanjali Nagar,158,108.73,20.19,88.54,139.46,29.08,110.38,181.82,37.68,144.13,1.1,34653
Bengaluru City,RR NAGAR,Kengeri,159,286.66,37.36,249.3,456.49,61.41,395.08,556.96,88.24,468.72,2.1,45928
Bengaluru City,RR NAGAR,Rajarajeshwarinagar,160,425.03,64.45,360.58,746.64,122.21,624.43,1023.59,185.57,838.02,5.1,40771
Bengaluru City,SOUTH,Hosakerehalli,161,264.37,25.46,238.91,332.7,34.73,297.97,459.52,42.85,416.68,11.1,56897
Bengaluru City,SOUTH,Girinagar,162,310.3,47.26,263.04,405.64,67.51,338.13,548.95,101.76,447.19,1.3,46805
Bengaluru City,SOUTH,Katriguppe,163,284.29,46.3,237.99,371.41,64.94,306.47,511.08,88.86,422.22,1.8,43195
Bengaluru City,SOUTH,Vidyapeetha Ward,164,219.11,40.35,178.76,276.32,49.23,227.09,386.89,76,310.9,1.1,45572
Bengaluru City,SOUTH,Ganeshmandira Ward,165,259.57,63.01,196.56,333.38,83.92,249.46,454.23,126.59,327.64,1.2,43483
Bengaluru City,SOUTH,Karisandra,166,263.12,93.91,169.21,310.72,100.85,209.87,446.27,156.17,290.1,1.6,25998
Bengaluru City,SOUTH,Yadiyuru,167,266.99,87.25,179.73,323.89,104.93,218.96,453.26,160.8,292.45,1.1,27040
Bengaluru City,SOUTH,Pattabhiramnagar,168,476.06,287.87,188.19,577.75,342.77,234.98,799.99,483.92,316.07,1.2,32756
Bengaluru City,SOUTH,Byrasandra,169,262.12,110.02,152.1,324.43,137.59,186.83,444.25,188.8,255.45,1.7,28353
Bengaluru City,SOUTH,Jayanagar East,170,240.86,74.18,166.68,314.8,99.3,215.5,420.9,141.44,279.46,0.9,32066
Bengaluru City,SOUTH,Gurappanapalya,171,371.66,169.75,201.91,476.22,199.91,276.31,630.04,268.15,361.89,1,33927
Bengaluru City,SOUTH,Madiwala,172,288.46,78.09,210.36,397.37,112.41,284.96,585.58,185.74,399.84,0.7,48991
Bengaluru City,SOUTH,Jakkasandra,173,271.17,127.39,143.79,393.35,171.89,221.46,531.91,210.04,321.87,1.2,42624
Bengaluru City,BOMMANAHALLI,HSR Layout,174,852.3,417.97,434.33,1204.55,532.22,672.33,1795.83,788.67,1007.16,1.5,33521
Bengaluru City,BOMMANAHALLI,Bommanahalli,175,141.22,5.82,135.4,441.18,47.32,393.85,548.23,121.5,426.73,7.1,63033
Bengaluru City,SOUTH,BTM Layout,176,669.83,216.81,453.02,870.32,276.4,593.92,1126.38,369.14,757.24,1.8,43585
Bengaluru City,SOUTH,J.P.Nagar,177,393.26,132.35,260.92,522.53,167.86,354.66,750.74,251.47,499.26,2.1,52250
Bengaluru City,SOUTH,Sarakki,178,466.37,139.81,326.56,607.91,200.86,407.04,836.77,290.04,546.73,1.8,28846
Bengaluru City,SOUTH,Shakambarinagar,179,263.67,68.07,195.59,328.78,82.85,245.93,453.47,121.89,331.59,1.3,31034
Bengaluru City,SOUTH,Banashankari Temple Ward,180,182.85,27.41,155.45,232.39,33.04,199.35,306.56,42.65,263.91,1.9,25871
Bengaluru City,SOUTH,Kumaraswamy Layout,181,459.72,72.31,387.41,604.05,104.71,499.34,832.61,153.79,678.83,0.7,42171
Bengaluru City,SOUTH,Padmanabhanagar,182,376.7,54.22,322.48,467.93,66.27,401.67,614.24,94.4,519.84,1.8,47182
Bengaluru City,SOUTH,Chikkallasandra,183,300.68,21.09,279.59,367.57,28.29,339.28,480.16,39.54,440.62,1.7,41037
Bengaluru City,BOMMANAHALLI,Uttarahalli,184,102.07,9.42,92.64,177.21,17.12,160.08,281.12,28.98,252.14,1.1,43364
Bengaluru City,BOMMANHALLI,Yelachenahalli,185,190,15.17,174.83,270.78,21.16,249.62,354.75,31.54,323.2,9.9,57209
Bengaluru City,BOMMANHALLI,Jaraganahalli,186,192.54,42.01,150.53,258.44,52.07,206.37,327.6,64.78,262.83,1.6,46943
Bengaluru City,BOMMANAHALLI,Puttenahalli,187,200.46,19.74,180.71,305.75,34.68,271.07,393.25,44.56,348.68,1.3,38294
Bengaluru City,BOMMANAHALLI,Bilekahalli,188,551.1,147.97,403.12,867.02,206.65,660.37,1000.31,262.55,737.76,2.9,49207
Bengaluru City,BOMMANAHALLI,Hongasandra,189,130.21,13.86,116.34,400.61,40.95,359.66,529.85,105.78,424.06,4.3,49884
Bengaluru City,BOMMANAHALLI,Mangammanapalya,190,29.88,2.78,27.1,71.81,5.83,65.98,130.4,11.78,118.62,2.1,68554
Bengaluru City,BOMMANAHALLI,Singasandra,191,11.31,5.92,5.39,23.76,7.51,16.25,48.04,13.52,34.53,3.5,65890
Bengaluru City,BOMMANAHALLI,Begur,192,188.18,178.93,9.25,173.01,157.59,15.43,27.17,3.84,23.33,9.7,71004
Bengaluru City,BOMMANAHALLI,Arakere,193,414.04,107.34,306.69,713.26,150.84,562.43,871.66,150.65,721,19,80037
Bengaluru City,BOMMANAHALLI,Gottigere,194,32.22,0.84,31.38,62.23,3.63,58.6,88.78,6.63,82.15,6.6,58355
Bengaluru City,BOMMANAHALLI,Konanakunte,195,334.28,114.13,220.14,584.8,192,392.8,766.12,251.63,514.48,7.4,51911
Bengaluru City,BOMMANAHALLI,Anjanapura,196,85.18,4.17,81.01,171.8,10.72,161.08,210.93,19.32,191.61,3.4,57335
Bengaluru City,BOMMANAHALLI,Vasanthapura,197,204.84,15.95,188.89,275.23,21.38,253.85,365.62,28.68,336.94,11.4,45608
Bengaluru City,RR NAGAR,Hemmigepura,198,13.31,0.17,13.14,44.16,4.25,39.91,68.7,9.73,58.97,5.7,62057
