townname,cityid,ctycode,plcode,massgis,mfallow,siteplan,mfspga,mfattach,mfmixed,mfconvert,mfparcel,mfminlot,unitarea,townhous,mfsenior,onlyold,zonedist,agelimit,overlay,resdist,agezone,zoneweb,accesapt,aaspga,aafamily,cluster,clbuilt,clspga,cladopt,clamend,clbonus,cltype,clparcel,clminlot,clopen,include,incstruc,inclieu,incbonus,increlax,incadopt,incdevs,incunits,growrate,grownum,phasing,phunits,growadpt,growtemp,growexp,exsenior,exafford,exopen,exlodens,exinfra,exother,capfirm,mlaexclud,mlacba,mlapct,shaprule,shapenum,htcalc,front150,longzone,maxfront,frontout,maxbuild,subdrule,subadopt,subamend,subdweb,maxlength,pavewid1,pavewid2,typeroad,rghtway1,curb,sidewalk,sidewide,maxgrade,maxgrad2,wetbylaw,wetadopt,wetamend,ccadopt,wetonline,vernpool,vernlist,buffpool,pooldefn,vernwide,maxjuris,buffisol,isolwide,floodexp,addterms,termdefn,bufflsf,lsfdefn,nobuild,nogowide,delaycert,septrule,septdate,septweb,grndmin,roomflow,housflow,bedcount,maxperc,leachsiz,propback,wetback,wellback,perctest,septtime,noshare,pctsewer,iipartic,iiratio,iicash,sewerfee
READING,139,17,56130,246,5,1,2,0,0,2,1.37741,40000,2420,1,0,0,9,,8,7,0,1,2,2,0,2,1,1,1987,2004,,,1.37741,,,2,,1,0,0,1987,1,16,0,,0,,,,,,,,,,,0,1,0,50,5,,3,1,1,200,1,771,1,1997,,0,500,30,30,NA,60,3,2,,10,10,1,1980,2002,1,0,1,0,1,0,100,100,1,100,1,0,,0,1,1,25,1,0,,,,,,,,,,,,,,,4,1,2,0,5
LYNNFIELD,140,9,37560,164,1,0,,0,0,0,4,,1281,0,1,1,11,60,3,5,1,1,2,2,1,2,1,2,1972,1974,,0,25,26700,20,0,,,,,,,,0,,0,,,,,,,,,,,0,1,0,100,0,,1,1,4,210,0,442,1,1977,2001,0,500,26,26,ALL NON-PRINCIPAL,40,2,2,4,9,9,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,
PEABODY,141,9,52490,229,7,0,3,1,0,2,20,10000,750,1,0,0,20,,4,9,1,1,2,3,1,2,1,1,1984,,1,3,5,6600,20,3,3,1,1,1,2003,,7,0,,0,,,,,,,,,,,0,0,0,,0,,1,0,0,125,1,3040,1,1975,,0,500,32,32,SECONDARY,50,3,2,5,6,9,1,2000,,1,1,1,1,1,1,200,200,1,100,1,1,0,1,1,1,100,1,0,,,,,,,,,,,,,,,5,0,,,100
BEVERLY,142,9,5595,30,7,0,7,0,1,2,10,3000,1000,2,1,0,16,55,3,9,1,1,2,2,1,2,1,2,1980,,0,3,5,,30,2,3,0,0,0,1988,0,0,0,,0,,,,,,,,,,,0,1,0,,0,,3,1,3,225,0,1714,1,1954,2004,0,500,32,24,SECONDARY,50,3,2,5,6,6,1,2001,,1,0,1,1,1,0,100,100,1,100,0,1,0,0,0,1,25,1,1,1981,0,5,110,330,0,60,800,10,50,100,0,0,0,4,0,,,100
DANVERS,143,9,16250,71,2,,4,0,1,2,8,30000,2723,0,1,0,17,55,3,6,1,1,0,,,2,,1,,,0,0,2,8000,30,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,1,22,1,1,,150,0,1443,1,1979,,0,600,28,24,LOCAL RESIDENTIAL,54,2,1,,10,10,1,1988,2003,1,1,0,0,0,,,,1,100,1,1,1,0,1,1,35,1,0,,,,,,,,,,,,,,,4,0,,,100
NORTH READING,144,17,48955,213,6,,1,1,0,0,30,40000,3500,2,0,0,13,,3,7,0,0,0,,,2,1,1,1980,,0,1,30,20000,40,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,1,1,4,160,0,913,1,1944,1989,0,500,28,28,SECONDARY,50,3,2,5,9,9,1,1992,2001,1,0,1,1,1,0,100,100,1,100,1,1,1,1,1,1,12,1,1,1962,0,5,110,330,0,60,800,10,75,100,0,0,1,0,,,,
ANDOVER,145,9,1465,9,6,,4,0,2,2,10,15000,3500,2,0,0,11,,2,4,0,1,2,2,1,2,1,1,,,0,3,10,2000,30,2,1,0,0,1,1988,1,24,0,,0,,,,,,,,,,,0,1,1,100,0,,3,1,2,180,0,3590,1,,2003,1,1000,28,26,MAJOR,50,3,1,,6,8,1,1999,2002,1,1,1,1,1,0,100,100,1,100,0,1,1,0,0,1,50,1,0,,,,,,,,,,,,,,,3,0,,,0
NORTH ANDOVER,146,9,46365,210,7,1,4,0,1,2,10,12500,2500,1,1,0,17,55,2,7,1,1,2,2,1,2,1,1,1987,,1,3,1.37741,12500,20,1,,1,1,0,1988,1,,0,,1,8,,,,0,0,0,0,0,0,1,1,1,75,0,,1,1,2,175,0,2324,1,2000,2001,1,600,26,26,LOCAL,50,3,1,,8,8,1,1987,1998,1,1,1,1,1,1,100,100,1,100,0,1,0,0,0,1,50,1,1,1997,0,5,110,440,1,60,900,10,100,100,1,1,0,3,1,2,1,1000
BOXFORD,147,9,7420,38,2,,2,0,0,0,24,87120,,0,1,1,6,60,3,1,1,0,2,2,1,0,,,,,,,,,,0,,,,,,,,0,,1,8,1999,,,0,0,0,0,0,0,0,1,1,50,1,32,3,1,1,250,0,1847,1,1960,2004,0,1500,18,18,MINOR,50,3,0,,7,7,1,1986,1998,1,1,1,1,1,0,100,100,1,100,1,1,0,1,0,1,75,1,1,1996,0,5,165,495,0,60,,10,100,100,0,0,1,0,,,,
METHUEN,148,9,40710,181,6,,1,0,2,0,10,20000,7260,2,0,0,15,,1,7,0,0,2,2,1,2,1,1,,,1,3,10,,30,1,4,1,1,0,,0,0,0,,0,,,,,,,,,,,0,0,0,,0,,4,1,2,150,0,1723,1,,,0,500,25,25,SECONDARY,40,3,2,5,8,8,1,1983,,1,0,0,0,0,,,,1,100,1,1,0,1,1,1,50,1,0,,,,,,,,,,,,,,,4,0,,,500
HAVERHILL,149,9,29405,128,6,,5,1,0,0,10,5000,,0,0,0,14,,2,5,0,0,2,2,0,2,1,3,1972,2000,1,1,10,20000,30,2,3,1,1,0,2000,,,1,100,1,10,1997,1,2003,0,1,0,0,0,1,0,1,1,50,0,,1,1,4,200,0,6838,1,2000,,0,800,28,28,LOCAL ACCESS,50,3,2,5,7,7,1,1996,,0,1,1,1,1,0,100,100,1,100,1,1,1,1,1,1,50,0,1,1999,0,5,110,330,0,60,,10,50,100,1,0,1,4,0,,,1400
GROVELAND,150,9,27620,116,3,,1,1,0,2,5,,10890,2,0,0,7,,1,3,1,0,2,2,1,2,1,1,,2002,1,1,5,10890,50,3,3,1,1,0,2003,0,0,1,100,1,9,1996,1,2003,0,1,0,0,0,0,1,1,1,50,4,,1,1,2,150,0,1174,1,1998,,0,1200,24,24,MINOR,50,3,2,5,10,10,1,1995,,1,0,1,0,1,1,100,100,1,100,1,1,0,1,0,1,25,1,1,1997,0,5,150,450,0,30,,10,100,100,0,1,1,3,0,,,450
GEORGETOWN,151,9,25625,105,2,,4,0,0,2,5,30000,10890,0,1,0,8,55,5,4,1,0,2,2,1,2,,1,1970,,0,,20,20000,30,2,,0,0,0,1990,1,,1,20,1,5,1995,1,2005,1,1,0,0,0,0,0,1,1,20,0,,1,1,2,200,0,1284,1,1973,1995,0,1000,26,26,MINOR,50,3,1,5,6,6,1,1986,,1,1,1,0,1,1,100,100,1,100,1,1,0,1,1,1,75,1,1,1999,0,5,165,495,0,60,,10,100,100,1,1,1,0,,,,
MERRIMAC,152,9,40430,180,2,,1,0,2,2,,,5445,2,1,0,8,55,3,3,1,0,2,2,0,2,0,1,2004,,1,2,10,,50,3,4,0,1,0,2004,0,0,0,,1,6,1987,,,0,0,0,0,0,0,0,1,1,75,0,,1,1,3,200,0,606,1,1998,2003,0,400,35,35,SECONDARY,55,2,2,5,8,12,1,2003,,1,0,1,1,1,1,200,200,1,100,0,1,0,0,0,1,50,1,1,2000,0,5,150,450,0,60,800,10,50,100,0,1,0,2,0,,,2550
AMESBURY,153,9,1185,7,1,1,4,0,2,1,5,5000,,2,0,0,14,,10,6,0,1,2,2,1,2,1,1,1985,2002,1,2,5,10000,50,0,,,,,,,,1,48,1,8,2003,1,2005,1,1,0,0,0,1,1,1,0,,0,,1,1,1,200,0,3094,1,2002,,1,750,24,24,MINOR,50,3,2,4,10,10,1,,,0,1,1,1,1,1,,200,1,100,1,1,0,1,0,0,,1,1,2003,1,5,150,450,0,60,800,10,100,125,0,1,0,4,0,,,1500
