rent,bedrooms,neighborhood
5000,4,Mission Hill
6000,3,Mission Hill
3295,3,Mission Hill
2900,1,Mission Hill
1545,0,Mission Hill
1725,0,Mission Hill
3400,3,Mission Hill
3195,2,Mission Hill
1545,0,Mission Hill
2495,1,Mission Hill
5295,4,Mission Hill
3245,2,Mission Hill
3245,2,Mission Hill
3245,2,Mission Hill
3495,2,Mission Hill
3750,2,Mission Hill
5295,4,Mission Hill
2395,1,Mission Hill
2995,2,Mission Hill
3900,3,Mission Hill
2945,2,Mission Hill
3195,2,Mission Hill
1750,0,Mission Hill
1750,0,Mission Hill
3600,3,Mission Hill
2600,2,Mission Hill
5000,4,Mission Hill
3300,1,Mission Hill
3100,1,Mission Hill
2150,1,Mission Hill
9600,6,Mission Hill
4800,4,Mission Hill
3200,3,Mission Hill
19050,3,Mission Hill
2175,1,Mission Hill
8250,5,Mission Hill
5600,4,Mission Hill
3200,2,Mission Hill
7000,5,Mission Hill
3300,3,Mission Hill
6000,4,Mission Hill
3600,3,Mission Hill
4200,4,Mission Hill
2300,1,Mission Hill
2100,1,Mission Hill
6800,4,Mission Hill
6800,4,Mission Hill
3000,2,Mission Hill
4800,3,Mission Hill
4800,3,Mission Hill
4800,3,Mission Hill
8000,5,Mission Hill
5000,4,Mission Hill
5800,4,Mission Hill
2300,1,Mission Hill
5000,4,Mission Hill
4000,3,Mission Hill
5000,4,Mission Hill
2200,1,Mission Hill
2200,1,Mission Hill
4000,3,Mission Hill
5000,4,Mission Hill
4000,3,Mission Hill
4000,3,Mission Hill
4000,3,Mission Hill
5000,4,Mission Hill
3800,3,Mission Hill
6500,4,Mission Hill
5800,4,Mission Hill
4000,3,Mission Hill
2200,1,Mission Hill
2995,2,Mission Hill
3700,2,Mission Hill
3300,2,Mission Hill
4600,4,Mission Hill
5700,4,Mission Hill
5900,5,Mission Hill
2500,2,Mission Hill
3600,3,Mission Hill
2495,1,Mission Hill
7500,5,Mission Hill
2025,0,Mission Hill
2895,2,Mission Hill
2345,1,Mission Hill
9000,6,Mission Hill
6600,4,Mission Hill
2495,2,Mission Hill
4100,3,Mission Hill
4800,4,Mission Hill
3000,2,Mission Hill
3150,3,Mission Hill
3240,1,Mission Hill
2345,1,Mission Hill
3750,3,Mission Hill
4950,3,Mission Hill
6500,5,Mission Hill
6500,5,Mission Hill
4600,4,Mission Hill
2000,0,Mission Hill
